file_id,file_name,local_file_name,exif_datetime,width,height
1-6xWPcGJL5YOAjVHAOVktYVB62Wc0psB,IMG_0207.JPG,1-6xWPcGJL5YOAjVHAOVktYVB62Wc0psB__IMG_0207.JPG,2025:11:09 12:49:05,4208,2368
1-6zTX_vOJDezBgUcMi2LZDkvPHVLr_oO,IMG_0141.JPG,1-6zTX_vOJDezBgUcMi2LZDkvPHVLr_oO__IMG_0141.JPG,2025:11:01 16:13:35,4208,2368
1-Ryee8FMQV8JoKPjwZK9YrJwMCzOQ4kp,IMG_0066.JPG,1-Ryee8FMQV8JoKPjwZK9YrJwMCzOQ4kp__IMG_0066.JPG,2025:10:17 18:57:14,4208,2368
105PHMBXY8dnVCV9XskO5wZjq7tKIuxBa,IMG_0028.JPG,105PHMBXY8dnVCV9XskO5wZjq7tKIuxBa__IMG_0028.JPG,2025:10:12 10:09:07,4208,2368
10F0s34QD4pm7czM9f_lvVaoAx-xO3Ox8,IMG_0101.JPG,10F0s34QD4pm7czM9f_lvVaoAx-xO3Ox8__IMG_0101.JPG,2025:10:20 02:06:09,4208,2368
10ZnU8HJhruoKKvtiqGZ6wy8C_HVLtJ5h,IMG_0292.JPG,10ZnU8HJhruoKKvtiqGZ6wy8C_HVLtJ5h__IMG_0292.JPG,2025:11:25 03:38:04,4208,2368
10fmSZgbAi8Y79Wv_PE5dUXQJrdwGefjw,IMG_0069.JPG,10fmSZgbAi8Y79Wv_PE5dUXQJrdwGefjw__IMG_0069.JPG,2025:10:18 08:56:58,4208,2368
1148VG333qxXwp2wq1LJcl4-RTLXB-SS9,IMG_0034.JPG,1148VG333qxXwp2wq1LJcl4-RTLXB-SS9__IMG_0034.JPG,2025:10:12 20:41:46,4208,2368
11KdjGIr-C0NX3p326wXk4OuIoxKKX-tf,IMG_0071.JPG,11KdjGIr-C0NX3p326wXk4OuIoxKKX-tf__IMG_0071.JPG,2025:10:18 22:36:50,4208,2368
11UtiCgYKwxKAr-xto3oDjjOOm-d82_5V,IMG_0127.JPG,11UtiCgYKwxKAr-xto3oDjjOOm-d82_5V__IMG_0127.JPG,2025:10:31 17:39:38,4208,2368
11ZXBv3fw4itOYnt4qeehZPCqmKB_fQO4,IMG_0294.JPG,11ZXBv3fw4itOYnt4qeehZPCqmKB_fQO4__IMG_0294.JPG,2025:11:25 03:38:08,4208,2368
11cp0vbfLS5HiRK6-nAdjdYBMi0V6484d,IMG_0356.JPG,11cp0vbfLS5HiRK6-nAdjdYBMi0V6484d__IMG_0356.JPG,2025:12:14 22:56:24,4208,2368
11lpP7WCGuMXJu6-tWEK-CoXGJDUXNywd,IMG_0320.JPG,11lpP7WCGuMXJu6-tWEK-CoXGJDUXNywd__IMG_0320.JPG,2025:12:04 20:57:27,4208,2368
11tkelr3gEKxhoXPh6-H_9nuPUBJKh4de,IMG_0288.JPG,11tkelr3gEKxhoXPh6-H_9nuPUBJKh4de__IMG_0288.JPG,2025:11:24 06:29:03,4208,2368
