file_id,file_name,local_file_name,local_path,size_bytes_local,modified_time_local,exif_datetime,width,height,drive_folder_id,drive_modifiedTime,drive_size,drive_mimeType
1G0SxaAY6piD0uYre_Rg5Pz68qsCCMZP4,IMG_0001.JPG,1G0SxaAY6piD0uYre_Rg5Pz68qsCCMZP4__IMG_0001.JPG,data/staging/1G0SxaAY6piD0uYre_Rg5Pz68qsCCMZP4__IMG_0001.JPG,1993575,2026-01-17T00:11:07.427543,2025:10:09 14:02:28,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:02:28.000Z,1993575,image/jpeg
1l_FdwjueMgKrgkJn1sOSgGSMe802TFC8,IMG_0002.JPG,1l_FdwjueMgKrgkJn1sOSgGSMe802TFC8__IMG_0002.JPG,data/staging/1l_FdwjueMgKrgkJn1sOSgGSMe802TFC8__IMG_0002.JPG,715792,2026-01-17T00:11:06.183569,2025:10:09 14:02:31,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:02:30.000Z,715792,image/jpeg
1mYOaOKGn7-4vfyFS183UhZXjvfCSpVcM,IMG_0003.JPG,1mYOaOKGn7-4vfyFS183UhZXjvfCSpVcM__IMG_0003.JPG,data/staging/1mYOaOKGn7-4vfyFS183UhZXjvfCSpVcM__IMG_0003.JPG,2218770,2026-01-17T00:11:05.452312,2025:10:09 14:02:33,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:02:32.000Z,2218770,image/jpeg
1AX3pr0_LlRl6RfDYzzu-jnaVanYc-2sm,IMG_0004.JPG,1AX3pr0_LlRl6RfDYzzu-jnaVanYc-2sm__IMG_0004.JPG,data/staging/1AX3pr0_LlRl6RfDYzzu-jnaVanYc-2sm__IMG_0004.JPG,1988373,2026-01-17T00:11:04.326044,2025:10:09 14:03:34,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:03:34.000Z,1988373,image/jpeg
1tPMjfFFxeId43rqsMsgFxPgghsDHm-X8,IMG_0005.JPG,1tPMjfFFxeId43rqsMsgFxPgghsDHm-X8__IMG_0005.JPG,data/staging/1tPMjfFFxeId43rqsMsgFxPgghsDHm-X8__IMG_0005.JPG,2140563,2026-01-17T00:11:01.490970,2025:10:09 14:03:36,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:03:36.000Z,2140563,image/jpeg
1SZ5iGDJPLW3yQuhkA8R0Xz222pIyTdhT,IMG_0006.JPG,1SZ5iGDJPLW3yQuhkA8R0Xz222pIyTdhT__IMG_0006.JPG,data/staging/1SZ5iGDJPLW3yQuhkA8R0Xz222pIyTdhT__IMG_0006.JPG,2208306,2026-01-17T00:11:00.022989,2025:10:09 14:03:38,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:03:38.000Z,2208306,image/jpeg
1_XMcy0BVQ0_Z7kx3kt2rUxsKS5PSQzZ6,IMG_0007.JPG,1_XMcy0BVQ0_Z7kx3kt2rUxsKS5PSQzZ6__IMG_0007.JPG,data/staging/1_XMcy0BVQ0_Z7kx3kt2rUxsKS5PSQzZ6__IMG_0007.JPG,2646272,2026-01-17T00:10:58.283128,2025:10:09 14:04:39,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:04:38.000Z,2646272,image/jpeg
15oGA5QwzzhzKO7RmKelXe7vngDAg8ykN,IMG_0008.JPG,15oGA5QwzzhzKO7RmKelXe7vngDAg8ykN__IMG_0008.JPG,data/staging/15oGA5QwzzhzKO7RmKelXe7vngDAg8ykN__IMG_0008.JPG,578217,2026-01-17T00:10:56.621266,2025:10:09 14:04:41,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:04:40.000Z,578217,image/jpeg
1LdCz2EZsD9WfYnONa1S5ux3AIUe0OgnC,IMG_0009.JPG,1LdCz2EZsD9WfYnONa1S5ux3AIUe0OgnC__IMG_0009.JPG,data/staging/1LdCz2EZsD9WfYnONa1S5ux3AIUe0OgnC__IMG_0009.JPG,597601,2026-01-17T00:10:55.990805,2025:10:09 14:04:43,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:04:42.000Z,597601,image/jpeg
1GQ35qtKNrGiAr3ZZpnZvKSwZ54XfjoHP,IMG_0010.JPG,1GQ35qtKNrGiAr3ZZpnZvKSwZ54XfjoHP__IMG_0010.JPG,data/staging/1GQ35qtKNrGiAr3ZZpnZvKSwZ54XfjoHP__IMG_0010.JPG,2663850,2026-01-17T00:10:55.182555,2025:10:09 14:05:45,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-09T22:05:44.000Z,2663850,image/jpeg
